subjid,session,trialno,texpr,validity,pexpr,stimf,sex,id,onset,dur,corr_resp,subj_resp,accuracy,rt
mm_,1,52,ekl,valid,ekl,ekl99w31.avi,9,9w,345.778,3.200,1,,miss,
mm_,1,46,ekl,invalid,fre,fre99m03.avi,9,9m,348.854,3.200,1,,miss,
mm_,1,59,fre,invalid,ekl,ekl99m71.avi,9,9m,352.052,3.200,1,,miss,
mm_,1,136,fre,valid,fre,fre99m20.avi,9,9m,355.254,3.200,1,,miss,
mm_,1,7,fre,valid,fre,fre99w01.avi,9,9w,358.455,3.200,1,,miss,
mm_,1,31,ekl,invalid,fre,fre99m36.avi,9,9m,361.654,3.200,1,,miss,
mm_,1,45,fre,invalid,ekl,ekl99m25.avi,9,9m,364.871,3.200,1,,miss,
mm_,1,24,fre,valid,fre,fre99w14.avi,9,9w,368.070,3.200,1,,miss,
mm_,1,62,fre,valid,fre,fre99m24.avi,9,9m,371.253,3.200,1,,miss,
mm_,1,100,fre,valid,fre,fre99m20.avi,9,9m,374.452,3.200,1,,miss,
mm_,1,150,ekl,valid,ekl,ekl99w61.avi,9,9w,377.693,3.200,1,,miss,
mm_,1,86,ekl,invalid,fre,fre99m03.avi,9,9m,380.865,3.200,1,,miss,
mm_,1,119,ekl,invalid,fre,fre99m36.avi,9,9m,384.053,3.200,1,,miss,
mm_,1,84,fre,valid,fre,fre99m46.avi,9,9m,387.272,3.200,1,,miss,
mm_,1,49,ekl,valid,ekl,ekl99m20.avi,9,9m,390.455,3.200,1,,miss,
mm_,1,15,fre,valid,fre,fre99w58.avi,9,9w,0.079,3.200,1,,miss,
mm_,1,62,ekl,invalid,fre,fre99m25.avi,9,9m,3.342,3.200,1,,miss,
mm_,1,157,fre,valid,fre,fre99m09.avi,9,9m,6.477,3.200,1,,miss,
mm_,1,103,ekl,valid,ekl,ekl99w14.avi,9,9w,9.728,3.200,1,,miss,
